,body
16131,"{'label': 'not sexist', 'score': 0.9990431666374207}"
277168,"{'label': 'not sexist', 'score': 0.9988052845001221}"
156350,"{'label': 'not sexist', 'score': 0.9987527132034302}"
86067,"{'label': 'not sexist', 'score': 0.9994574189186096}"
350253,"{'label': 'not sexist', 'score': 0.9988546371459961}"
79984,"{'label': 'not sexist', 'score': 0.9981125593185425}"
234727,"{'label': 'not sexist', 'score': 0.998475968837738}"
338159,"{'label': 'not sexist', 'score': 0.9993886947631836}"
100748,"{'label': 'not sexist', 'score': 0.9993738532066345}"
258378,"{'label': 'not sexist', 'score': 0.9991090893745422}"
288668,"{'label': 'not sexist', 'score': 0.9987194538116455}"
109280,"{'label': 'not sexist', 'score': 0.9990780353546143}"
328962,"{'label': 'not sexist', 'score': 0.9990323781967163}"
145683,"{'label': 'not sexist', 'score': 0.9991451501846313}"
242146,"{'label': 'not sexist', 'score': 0.9987253546714783}"
265167,"{'label': 'not sexist', 'score': 0.9992688298225403}"
80325,"{'label': 'not sexist', 'score': 0.9987637996673584}"
182428,"{'label': 'not sexist', 'score': 0.9982357025146484}"
129031,"{'label': 'not sexist', 'score': 0.9986938834190369}"
224541,"{'label': 'not sexist', 'score': 0.9989014863967896}"
283306,"{'label': 'not sexist', 'score': 0.9991480112075806}"
294668,"{'label': 'not sexist', 'score': 0.9982426166534424}"
240152,"{'label': 'not sexist', 'score': 0.9992762207984924}"
241860,"{'label': 'not sexist', 'score': 0.9986035227775574}"
198853,"{'label': 'not sexist', 'score': 0.999138355255127}"
95594,"{'label': 'not sexist', 'score': 0.9868739247322083}"
169953,"{'label': 'not sexist', 'score': 0.9991455078125}"
108811,"{'label': 'not sexist', 'score': 0.9991279244422913}"
162321,"{'label': 'not sexist', 'score': 0.9983788728713989}"
141876,"{'label': 'not sexist', 'score': 0.9989711046218872}"
328102,"{'label': 'not sexist', 'score': 0.9991598129272461}"
71185,"{'label': 'not sexist', 'score': 0.9993278980255127}"
4007,"{'label': 'not sexist', 'score': 0.9988763928413391}"
19781,
177717,"{'label': 'not sexist', 'score': 0.997920572757721}"
336327,"{'label': 'not sexist', 'score': 0.9991914629936218}"
214517,"{'label': 'not sexist', 'score': 0.9989253878593445}"
287805,"{'label': 'not sexist', 'score': 0.9986862540245056}"
334047,"{'label': 'not sexist', 'score': 0.9992578625679016}"
313575,"{'label': 'not sexist', 'score': 0.9988555908203125}"
232538,"{'label': 'not sexist', 'score': 0.9988742470741272}"
147964,"{'label': 'not sexist', 'score': 0.9994727969169617}"
256963,"{'label': 'not sexist', 'score': 0.9993744492530823}"
189235,"{'label': 'not sexist', 'score': 0.9987736344337463}"
163505,"{'label': 'not sexist', 'score': 0.9994794726371765}"
99946,"{'label': 'not sexist', 'score': 0.9987472295761108}"
52618,"{'label': 'not sexist', 'score': 0.9979662895202637}"
255797,"{'label': 'not sexist', 'score': 0.9987216591835022}"
129209,"{'label': 'not sexist', 'score': 0.9996042847633362}"
51572,"{'label': 'not sexist', 'score': 0.9984161853790283}"
32095,"{'label': 'not sexist', 'score': 0.9988873600959778}"
280322,"{'label': 'not sexist', 'score': 0.9978868365287781}"
310823,"{'label': 'not sexist', 'score': 0.9989921450614929}"
188969,"{'label': 'not sexist', 'score': 0.9991501569747925}"
318749,"{'label': 'not sexist', 'score': 0.9993054866790771}"
93042,"{'label': 'not sexist', 'score': 0.9993058443069458}"
249768,
283050,"{'label': 'not sexist', 'score': 0.9989156723022461}"
189773,"{'label': 'not sexist', 'score': 0.9983256459236145}"
118989,"{'label': 'not sexist', 'score': 0.9992408752441406}"
65222,"{'label': 'not sexist', 'score': 0.9990822076797485}"
241805,"{'label': 'not sexist', 'score': 0.9987264275550842}"
6135,"{'label': 'not sexist', 'score': 0.999103307723999}"
211234,"{'label': 'sexist', 'score': 0.9979540109634399}"
77916,"{'label': 'not sexist', 'score': 0.9980881810188293}"
27031,"{'label': 'not sexist', 'score': 0.9979153275489807}"
235456,"{'label': 'not sexist', 'score': 0.9988648891448975}"
102662,"{'label': 'not sexist', 'score': 0.9970794916152954}"
261921,"{'label': 'not sexist', 'score': 0.9990008473396301}"
316833,"{'label': 'not sexist', 'score': 0.9992790818214417}"
271597,"{'label': 'not sexist', 'score': 0.9986802935600281}"
155793,"{'label': 'not sexist', 'score': 0.9979331493377686}"
321507,"{'label': 'not sexist', 'score': 0.9992088675498962}"
213071,"{'label': 'not sexist', 'score': 0.9981520771980286}"
357637,"{'label': 'not sexist', 'score': 0.9994218349456787}"
266788,"{'label': 'not sexist', 'score': 0.9991181492805481}"
156740,"{'label': 'not sexist', 'score': 0.998945415019989}"
72552,"{'label': 'not sexist', 'score': 0.9985920786857605}"
295033,"{'label': 'not sexist', 'score': 0.9988203644752502}"
152837,"{'label': 'not sexist', 'score': 0.9992673993110657}"
162428,"{'label': 'not sexist', 'score': 0.9974552989006042}"
320796,"{'label': 'not sexist', 'score': 0.9987988471984863}"
150186,"{'label': 'not sexist', 'score': 0.9991555213928223}"
261876,"{'label': 'not sexist', 'score': 0.998917818069458}"
255281,"{'label': 'not sexist', 'score': 0.9990399479866028}"
203549,"{'label': 'not sexist', 'score': 0.9986051917076111}"
153979,"{'label': 'not sexist', 'score': 0.9987916350364685}"
322868,"{'label': 'not sexist', 'score': 0.9992801547050476}"
133838,"{'label': 'not sexist', 'score': 0.998501181602478}"
29361,"{'label': 'not sexist', 'score': 0.9995236396789551}"
60803,"{'label': 'not sexist', 'score': 0.9991464614868164}"
40906,"{'label': 'not sexist', 'score': 0.999242901802063}"
22752,"{'label': 'not sexist', 'score': 0.9994958639144897}"
249992,"{'label': 'not sexist', 'score': 0.996238112449646}"
209097,"{'label': 'not sexist', 'score': 0.9989560842514038}"
40171,"{'label': 'not sexist', 'score': 0.9990253448486328}"
78368,"{'label': 'not sexist', 'score': 0.9995274543762207}"
148606,"{'label': 'not sexist', 'score': 0.9974609613418579}"
285456,"{'label': 'not sexist', 'score': 0.9993990659713745}"
237525,"{'label': 'not sexist', 'score': 0.9989557266235352}"
91083,"{'label': 'not sexist', 'score': 0.999208390712738}"
193305,"{'label': 'not sexist', 'score': 0.9992031455039978}"
145612,"{'label': 'not sexist', 'score': 0.9939903020858765}"
359687,"{'label': 'not sexist', 'score': 0.9988917708396912}"
38183,"{'label': 'not sexist', 'score': 0.9990969896316528}"
209259,"{'label': 'not sexist', 'score': 0.9992177486419678}"
36864,"{'label': 'not sexist', 'score': 0.9992545247077942}"
109507,"{'label': 'not sexist', 'score': 0.9991368651390076}"
268816,"{'label': 'not sexist', 'score': 0.9994344115257263}"
339765,"{'label': 'not sexist', 'score': 0.9990482926368713}"
321420,"{'label': 'not sexist', 'score': 0.9988754391670227}"
39180,"{'label': 'not sexist', 'score': 0.9990703463554382}"
5243,"{'label': 'not sexist', 'score': 0.9987902045249939}"
85169,"{'label': 'not sexist', 'score': 0.9991382360458374}"
103394,"{'label': 'not sexist', 'score': 0.9986440539360046}"
180913,"{'label': 'not sexist', 'score': 0.9987199306488037}"
109323,"{'label': 'not sexist', 'score': 0.9991639852523804}"
30260,"{'label': 'not sexist', 'score': 0.9991857409477234}"
14491,"{'label': 'not sexist', 'score': 0.9993669390678406}"
153644,"{'label': 'not sexist', 'score': 0.9991893172264099}"
341553,"{'label': 'not sexist', 'score': 0.9992192983627319}"
286352,"{'label': 'not sexist', 'score': 0.9989640712738037}"
119690,"{'label': 'not sexist', 'score': 0.9989199638366699}"
110518,"{'label': 'not sexist', 'score': 0.9986007809638977}"
334792,"{'label': 'not sexist', 'score': 0.9991043210029602}"
280391,"{'label': 'not sexist', 'score': 0.9993852376937866}"
216518,"{'label': 'not sexist', 'score': 0.9992533326148987}"
102524,"{'label': 'not sexist', 'score': 0.9988442659378052}"
148832,"{'label': 'not sexist', 'score': 0.9988740086555481}"
187416,"{'label': 'not sexist', 'score': 0.9929584264755249}"
110683,"{'label': 'not sexist', 'score': 0.9989004135131836}"
309264,"{'label': 'not sexist', 'score': 0.9986512064933777}"
76070,"{'label': 'not sexist', 'score': 0.998640239238739}"
319510,"{'label': 'not sexist', 'score': 0.9991753697395325}"
133490,"{'label': 'not sexist', 'score': 0.9909528493881226}"
212422,"{'label': 'not sexist', 'score': 0.9991632699966431}"
144304,"{'label': 'not sexist', 'score': 0.9987406134605408}"
288826,"{'label': 'not sexist', 'score': 0.9986945986747742}"
345668,"{'label': 'not sexist', 'score': 0.9925845265388489}"
200817,"{'label': 'not sexist', 'score': 0.9987325072288513}"
228030,"{'label': 'not sexist', 'score': 0.9996066689491272}"
199755,"{'label': 'not sexist', 'score': 0.9108145833015442}"
236222,"{'label': 'not sexist', 'score': 0.999468982219696}"
42958,"{'label': 'not sexist', 'score': 0.9991944432258606}"
74345,"{'label': 'not sexist', 'score': 0.9995871186256409}"
292688,"{'label': 'not sexist', 'score': 0.991310715675354}"
346622,"{'label': 'not sexist', 'score': 0.9971387386322021}"
260210,"{'label': 'not sexist', 'score': 0.9987982511520386}"
96241,"{'label': 'not sexist', 'score': 0.9990014433860779}"
158590,"{'label': 'not sexist', 'score': 0.9991169571876526}"
133369,"{'label': 'not sexist', 'score': 0.9990260601043701}"
213352,"{'label': 'not sexist', 'score': 0.9980411529541016}"
27864,"{'label': 'not sexist', 'score': 0.9991989731788635}"
24545,"{'label': 'not sexist', 'score': 0.9994713664054871}"
257976,"{'label': 'not sexist', 'score': 0.9993769526481628}"
26057,"{'label': 'not sexist', 'score': 0.9982228875160217}"
247262,"{'label': 'not sexist', 'score': 0.9992412328720093}"
107041,"{'label': 'not sexist', 'score': 0.9990322589874268}"
338350,"{'label': 'not sexist', 'score': 0.998999297618866}"
163914,"{'label': 'not sexist', 'score': 0.9994014501571655}"
38022,"{'label': 'not sexist', 'score': 0.9983687996864319}"
359376,"{'label': 'not sexist', 'score': 0.9984397292137146}"
259284,"{'label': 'not sexist', 'score': 0.998810887336731}"
296664,"{'label': 'not sexist', 'score': 0.9989883303642273}"
246781,"{'label': 'not sexist', 'score': 0.9992659687995911}"
60885,"{'label': 'not sexist', 'score': 0.999428927898407}"
180380,"{'label': 'not sexist', 'score': 0.9992358684539795}"
292618,"{'label': 'not sexist', 'score': 0.9989803433418274}"
351613,"{'label': 'not sexist', 'score': 0.9991403818130493}"
200617,"{'label': 'not sexist', 'score': 0.9975161552429199}"
76160,"{'label': 'not sexist', 'score': 0.9992474317550659}"
6709,"{'label': 'not sexist', 'score': 0.9988271594047546}"
246215,"{'label': 'not sexist', 'score': 0.999243974685669}"
35688,"{'label': 'not sexist', 'score': 0.9989317059516907}"
236240,"{'label': 'not sexist', 'score': 0.9995478987693787}"
263307,"{'label': 'not sexist', 'score': 0.9991704225540161}"
54968,"{'label': 'not sexist', 'score': 0.9989250302314758}"
165104,"{'label': 'not sexist', 'score': 0.9994220733642578}"
103832,"{'label': 'not sexist', 'score': 0.9990566372871399}"
206677,"{'label': 'not sexist', 'score': 0.9988629817962646}"
212778,"{'label': 'not sexist', 'score': 0.9993077516555786}"
303771,"{'label': 'not sexist', 'score': 0.9976643323898315}"
163679,"{'label': 'not sexist', 'score': 0.9983435869216919}"
167709,"{'label': 'not sexist', 'score': 0.9990766048431396}"
42228,"{'label': 'not sexist', 'score': 0.9984649419784546}"
282626,"{'label': 'not sexist', 'score': 0.9972364902496338}"
273223,"{'label': 'not sexist', 'score': 0.9992964267730713}"
196766,"{'label': 'not sexist', 'score': 0.9988589286804199}"
30430,"{'label': 'not sexist', 'score': 0.9990338087081909}"
172984,"{'label': 'not sexist', 'score': 0.9991914629936218}"
324834,"{'label': 'not sexist', 'score': 0.9990218877792358}"
286372,"{'label': 'not sexist', 'score': 0.9991822838783264}"
160278,"{'label': 'not sexist', 'score': 0.9992699027061462}"
20686,"{'label': 'not sexist', 'score': 0.9985963702201843}"
305661,"{'label': 'not sexist', 'score': 0.9992421865463257}"
358892,"{'label': 'not sexist', 'score': 0.9989060163497925}"
244310,"{'label': 'not sexist', 'score': 0.9995930790901184}"
7065,"{'label': 'not sexist', 'score': 0.9993261098861694}"
330879,"{'label': 'not sexist', 'score': 0.9990940093994141}"
266389,"{'label': 'not sexist', 'score': 0.9989063739776611}"
321122,"{'label': 'not sexist', 'score': 0.9968155026435852}"
258747,"{'label': 'not sexist', 'score': 0.9993908405303955}"
220072,"{'label': 'not sexist', 'score': 0.9983318448066711}"
304779,"{'label': 'not sexist', 'score': 0.9989818930625916}"
968,"{'label': 'not sexist', 'score': 0.9993001222610474}"
29551,"{'label': 'not sexist', 'score': 0.9990735054016113}"
179403,"{'label': 'not sexist', 'score': 0.9981620907783508}"
290436,"{'label': 'not sexist', 'score': 0.9987097978591919}"
143895,
23597,"{'label': 'not sexist', 'score': 0.9991286396980286}"
100856,"{'label': 'not sexist', 'score': 0.9994366765022278}"
135797,"{'label': 'not sexist', 'score': 0.9991515874862671}"
187754,"{'label': 'not sexist', 'score': 0.9976958632469177}"
358389,"{'label': 'not sexist', 'score': 0.9989984631538391}"
271960,"{'label': 'sexist', 'score': 0.8929910659790039}"
353417,"{'label': 'not sexist', 'score': 0.9988158941268921}"
338128,"{'label': 'not sexist', 'score': 0.9987598657608032}"
160463,"{'label': 'not sexist', 'score': 0.9986690282821655}"
233768,"{'label': 'not sexist', 'score': 0.9990744590759277}"
294842,"{'label': 'not sexist', 'score': 0.9990938901901245}"
218432,"{'label': 'not sexist', 'score': 0.9992296695709229}"
181706,"{'label': 'not sexist', 'score': 0.9993502497673035}"
267319,"{'label': 'not sexist', 'score': 0.9992715716362}"
231943,"{'label': 'not sexist', 'score': 0.9985657334327698}"
345761,"{'label': 'not sexist', 'score': 0.9987826943397522}"
43817,"{'label': 'not sexist', 'score': 0.9995304346084595}"
203593,"{'label': 'not sexist', 'score': 0.9990822076797485}"
331974,"{'label': 'not sexist', 'score': 0.9980284571647644}"
302091,"{'label': 'not sexist', 'score': 0.9988341927528381}"
281426,"{'label': 'not sexist', 'score': 0.9991515874862671}"
286047,"{'label': 'not sexist', 'score': 0.9987097978591919}"
196052,"{'label': 'not sexist', 'score': 0.9990599751472473}"
321440,"{'label': 'not sexist', 'score': 0.9987539052963257}"
223188,"{'label': 'not sexist', 'score': 0.9990652203559875}"
195141,"{'label': 'not sexist', 'score': 0.9992874264717102}"
55788,"{'label': 'not sexist', 'score': 0.9992152452468872}"
346439,"{'label': 'not sexist', 'score': 0.9958447813987732}"
52020,"{'label': 'not sexist', 'score': 0.9992315769195557}"
245145,"{'label': 'not sexist', 'score': 0.9983242154121399}"
231200,"{'label': 'not sexist', 'score': 0.9990501999855042}"
32006,"{'label': 'not sexist', 'score': 0.99847811460495}"
89627,"{'label': 'not sexist', 'score': 0.9988973140716553}"
53505,"{'label': 'not sexist', 'score': 0.998889148235321}"
80229,"{'label': 'not sexist', 'score': 0.9993520379066467}"
75477,"{'label': 'not sexist', 'score': 0.9991794228553772}"
298842,"{'label': 'not sexist', 'score': 0.9991707801818848}"
337398,"{'label': 'not sexist', 'score': 0.9982776641845703}"
110261,"{'label': 'not sexist', 'score': 0.9991374015808105}"
50286,"{'label': 'not sexist', 'score': 0.8199297785758972}"
30943,"{'label': 'not sexist', 'score': 0.99857497215271}"
161963,"{'label': 'not sexist', 'score': 0.9994445443153381}"
284851,"{'label': 'not sexist', 'score': 0.999089241027832}"
301730,"{'label': 'not sexist', 'score': 0.9987698197364807}"
204927,"{'label': 'not sexist', 'score': 0.9975612163543701}"
174203,"{'label': 'not sexist', 'score': 0.9988627433776855}"
85641,"{'label': 'not sexist', 'score': 0.9986300468444824}"
58432,"{'label': 'not sexist', 'score': 0.9989271759986877}"
24971,"{'label': 'not sexist', 'score': 0.998444139957428}"
315587,"{'label': 'not sexist', 'score': 0.9989646673202515}"
189377,"{'label': 'not sexist', 'score': 0.9989350438117981}"
283300,"{'label': 'not sexist', 'score': 0.9992493987083435}"
111643,"{'label': 'not sexist', 'score': 0.9991852641105652}"
253105,"{'label': 'not sexist', 'score': 0.998088538646698}"
202963,"{'label': 'not sexist', 'score': 0.9990875720977783}"
10365,"{'label': 'not sexist', 'score': 0.9994655251502991}"
86473,"{'label': 'not sexist', 'score': 0.9987446069717407}"
173894,"{'label': 'not sexist', 'score': 0.9985987544059753}"
61190,"{'label': 'not sexist', 'score': 0.9992455244064331}"
161097,"{'label': 'not sexist', 'score': 0.9992928504943848}"
23233,"{'label': 'not sexist', 'score': 0.9984050393104553}"
356781,"{'label': 'not sexist', 'score': 0.9972672462463379}"
187918,"{'label': 'not sexist', 'score': 0.9973004460334778}"
278581,"{'label': 'not sexist', 'score': 0.9991952776908875}"
121777,"{'label': 'not sexist', 'score': 0.9986151456832886}"
164157,"{'label': 'not sexist', 'score': 0.9994925260543823}"
67904,"{'label': 'not sexist', 'score': 0.9995850920677185}"
326339,"{'label': 'not sexist', 'score': 0.9985219836235046}"
100120,"{'label': 'not sexist', 'score': 0.9993010759353638}"
315640,"{'label': 'not sexist', 'score': 0.9982914328575134}"
160564,"{'label': 'not sexist', 'score': 0.9993597865104675}"
186901,"{'label': 'not sexist', 'score': 0.9981533885002136}"
89826,"{'label': 'not sexist', 'score': 0.9987844824790955}"
349572,"{'label': 'not sexist', 'score': 0.9949331879615784}"
208677,"{'label': 'not sexist', 'score': 0.9935073852539062}"
198774,"{'label': 'not sexist', 'score': 0.9985882639884949}"
98984,"{'label': 'not sexist', 'score': 0.9993234872817993}"
259170,
180660,"{'label': 'not sexist', 'score': 0.9982715845108032}"
63270,"{'label': 'not sexist', 'score': 0.9989352822303772}"
22369,"{'label': 'not sexist', 'score': 0.9995023012161255}"
83163,"{'label': 'not sexist', 'score': 0.9986849427223206}"
257970,"{'label': 'not sexist', 'score': 0.999357283115387}"
198513,"{'label': 'not sexist', 'score': 0.9982684850692749}"
226968,"{'label': 'not sexist', 'score': 0.9993372559547424}"
230406,"{'label': 'not sexist', 'score': 0.999136745929718}"
238454,"{'label': 'not sexist', 'score': 0.998223602771759}"
46538,"{'label': 'not sexist', 'score': 0.9991523027420044}"
164408,"{'label': 'not sexist', 'score': 0.9990936517715454}"
287467,"{'label': 'not sexist', 'score': 0.9994534850120544}"
326050,"{'label': 'not sexist', 'score': 0.9973583817481995}"
260295,"{'label': 'not sexist', 'score': 0.9979647397994995}"
321914,"{'label': 'not sexist', 'score': 0.9990326166152954}"
1976,"{'label': 'not sexist', 'score': 0.9983460903167725}"
58239,"{'label': 'not sexist', 'score': 0.9995007514953613}"
226061,"{'label': 'not sexist', 'score': 0.9986932873725891}"
69609,"{'label': 'not sexist', 'score': 0.9996525049209595}"
133280,"{'label': 'not sexist', 'score': 0.9992932081222534}"
92933,"{'label': 'not sexist', 'score': 0.9987741112709045}"
263697,"{'label': 'not sexist', 'score': 0.998848557472229}"
217081,"{'label': 'not sexist', 'score': 0.999388575553894}"
352833,"{'label': 'not sexist', 'score': 0.9965692758560181}"
241140,"{'label': 'not sexist', 'score': 0.9994339346885681}"
122505,"{'label': 'not sexist', 'score': 0.9989308714866638}"
38588,"{'label': 'not sexist', 'score': 0.9990043044090271}"
292279,"{'label': 'not sexist', 'score': 0.9995545744895935}"
232023,"{'label': 'not sexist', 'score': 0.9990326166152954}"
135084,
226355,"{'label': 'not sexist', 'score': 0.998271107673645}"
342677,"{'label': 'not sexist', 'score': 0.9993371367454529}"
248596,"{'label': 'not sexist', 'score': 0.9992056488990784}"
225061,"{'label': 'not sexist', 'score': 0.9993347525596619}"
